type,title,cast,release_year,id,duration_type,duration_int,calificacion,califPromedio
tv show,pinkfong! best kids songs,,2012,as1321,seasons,2,3.5,3.5
tv show,pinkfong! bedtime lullabies,,2015,as1322,season,1,4.0,3.6
tv show,pinkfong! baby shark's day at home,,2021,as1323,season,1,4.5,3.6
tv show,pinkfong! baby shark special (spanish version),,2017,as1324,season,1,4.0,3.5
tv show,pinkfong! baby shark special,,2017,as1325,season,1,4.5,3.6
tv show,pinkfong! baby shark sing along,,2019,as1326,seasons,3,5.0,3.5
tv show,pinkfong! baby shark nursery rhymes,,2019,as1327,season,1,4.0,3.4
tv show,pinkfong! baby shark & more animal songs (spanish version),,2016,as1328,season,1,4.0,3.5
tv show,pinkfong! baby shark & halloween songs,,2020,as1329,seasons,2,1.0,3.6
tv show,pinkfong! baby shark & christmas songs,,2020,as1330,season,1,1.0,3.5
movie,pink heat,"jordan burgess, adam joseph lopez, joey catalano, james howey, nick catalano, henry frost iii",2017,as1331,min,78,3.5,3.6
movie,pink floyd: the dark side of the moon,pink floyd,2020,as1332,min,58,4.0,3.5
tv show,pingu,"marcello magni, david sant",2005,as1333,seasons,6,4.5,3.5
tv show,picnic at hanging rock,"natalie dormer, lily sullivan, lola bessis, harrison gilbertson, samara weaving",2018,as1334,season,1,4.5,3.5
tv show,picker sisters,,2011,as1335,season,1,4.0,3.4
movie,photograph,"nawazuddin siddiqui, sanya malhotra, farrukh jaffar, geetanjali kulkarni, vijay raaz, jim sarbh, akash sinha, saharsh kumar shukla",2019,as1336,min,109,5.0,3.6
tv show,phonics school,,2017,as1337,season,1,5.0,3.6
tv show,philip k. dick's electric dreams,"terrence howard, bryan cranston, anna paquin",2018,as1338,season,1,5.0,3.4
movie,"phantom from 10,000 leagues-1955","kent taylor, cathy downs, michael whalen",1996,as1339,min,80,3.0,3.4
movie,petunia,"thora birch, brittany snow, eddie kaye thomas, christine lahti, michael urie, tobias segal, david rasche, jimmy heck",2013,as1340,min,115,4.0,3.6
movie,petromax,"tamannah, yogi babu, munishkanth, kaali venkat, mime gopy",2019,as1341,min,127,5.0,3.5
tv show,peter allen: not the boy next door,"joe jackson, rebecca gibney, sara west, rob mills, ky baldwin, sigrid thornton",2015,as1342,season,1,3.0,3.5
movie,pete correale: the things we do for love,pete correale,2009,as1343,min,70,5.0,3.5
movie,pete correale: let me tell ya,pete correale,2015,as1344,min,63,4.0,3.5
movie,perfume: the story of a murderer,"ben whishaw, alan rickman, rachel hurd-wood, dustin hoffman",2007,as1345,min,148,3.0,3.5
tv show,peppa pig,"john sparkes, morwenna banks, richard ridings",2011,as1346,seasons,2,2.0,3.6
tv show,people like us,chris langham,1999,as1347,season,1,3.0,3.5
movie,penguin (telugu),"keerthy suresh, linga, madhampatty rangaraj, master advaith, mathi",2020,as1348,min,132,3.0,3.6
movie,penguin (tamil),"keerthy suresh, linga, madhampatty rangaraj, master advaith, mathi",2020,as1349,min,132,3.0,3.5
movie,penance lane,"tyler mane, scout compton, john schneider, daniel reobuck, booker huffman, dallas page, renae geerlings, william tokarsky",2020,as1350,min,84,4.0,3.5
tv show,peg + cat,,2013,as1351,season,1,5.0,3.6
tv show,peep time,"shingo katori, jiro sato, chihiro yamamoto, satomi nagano, emma miyazawa (ep2.4.5.7.8, mari natsuki (ep6-8",2020,as1352,season,1,4.0,3.6
tv show,peep and the big wide world,,2011,as1353,season,1,2.5,3.6
tv show,peekaboo i see you series,,2015,as1354,season,1,3.0,3.6
movie,peculiar pets,natalie casey,2016,as1355,min,48,2.0,3.6
movie,pearl,"anthony lapaglia, sarah carter, barbara williams",2020,as1356,min,93,5.0,3.5
movie,pay the ghost,"nicolas cage, sarah wayne callies",2015,as1357,min,94,4.0,3.5
tv show,pawn stars,,2012,as1358,season,1,3.5,3.6
tv show,paula's home cooking,,2002,as1359,seasons,12,4.0,3.6
movie,paul rodriguez: the here and wow,paul rodriguez,2018,as1360,min,76,5.0,3.6
tv show,paul chowdhry live innit (4k uhd),,2019,as1361,season,1,2.0,3.4
tv show,paul chowdhry live innit,,2019,as1362,season,1,3.5,3.5
movie,pattern is movement,,2008,as1363,min,27,3.0,3.6
movie,pattas (tamil),"dhanush, sneha, mehreen pirzada, naveen chandra, naser, munishkanth, sathish",2020,as1364,min,140,3.0,3.5
tv show,patriot,"chris conrad, kurtwood smith, michael dorman, michael chernus, kathleen munroe, terry o'quinn, aliette opheim",2018,as1365,seasons,2,4.5,3.5
tv show,patrick melrose,"benedict cumberbatch, jennifer jason leigh, hugo weaving, jessica raine, indira varma",2018,as1366,season,1,3.0,3.5
tv show,pati's mexican table,pati jinich,2020,as1367,season,1,2.5,3.6
movie,paterson,"adam driver, golshifteh farahani",2016,as1368,min,118,3.0,3.6
movie,past midnight,"rutger hauer, natasha richardson, clancy brown, paul giamatti, guy boyd, tom wright, dana eskelson",1993,as1369,min,100,4.0,3.5
tv show,password plus,allen ludden,1979,as1370,season,1,2.0,3.6
movie,passport to the world: route 66,donna bouche,2019,as1371,min,64,3.0,3.5
movie,pass over,"jon michael hill, julian parker, ryan hallahan, blake delong",2018,as1372,min,75,4.0,3.6
movie,party girl,"douglas fairbanks jr., jeanette loff, judith barrie, marie prevost, john st. polis, lucien prival",1930,as1373,min,62,4.0,3.5
tv show,parry gripp video mega-party,parry gripp,2012,as1374,season,1,2.0,3.6
tv show,parking wars,,2012,as1375,seasons,6,4.0,3.6
movie,"park avenue: money, power & the american dream","paul piff, anne rueth, colin dunkley, april dunkley",2012,as1376,min,71,4.5,3.5
movie,paris by night,"roschdy zem, sara forestier, samuel le bihan, grégory fitoussi",2012,as1377,min,101,4.0,3.5
movie,pari,"anushka sharma kohli, parambrata chatterjee, rajat kapoor, ritabhari chakraborty",2018,as1378,min,134,5.0,3.5
tv show,paranormal cops,ron fabiani,2010,as1379,season,1,2.5,3.5
tv show,paradox,"tamzin outhwaite, emun elliott",2009,as1380,season,1,2.0,3.5
movie,"paradise, hawaiian style","elvis presley, suzanna leigh, james shigeta",1966,as1381,min,91,2.5,3.5
movie,paradise canyon - digitally remastered,"john wayne, marion burns, earle hodgins, yakima canutt, reed howes, perry murdock, gino corrado, gordon clifford, tex palmer, herman hack, earl dwire",1935,as1382,min,0,3.0,3.6
